	Category_Link	Category_Name	Sub_Category_Link	Sub_Category_Name	Sub_Sub_Category_Link	Sub_Sub_Category_Name
40	https://www.costco.com/electronics.html	Electronics	https://www.costco.com/apple-brand-showcase.html	Apple Devices	https://www.costco.com/ipad.html	iPad
41	https://www.costco.com/electronics.html	Electronics	https://www.costco.com/apple-brand-showcase.html	Apple Devices	https://www.costco.com/apple-watch.html	Apple Watch
42	https://www.costco.com/computers.html	Computers	https://www.costco.com/laptops.html	Laptops	https://www.costco.com/pc-laptops.html	PC Laptops
43	https://www.costco.com/computers.html	Computers	https://www.costco.com/laptops.html	Laptops	https://www.costco.com/chromebooks.html	Chromebooks
44	https://www.costco.com/computers.html	Computers	https://www.costco.com/laptops.html	Laptops	https://www.costco.com/macbooks.html	MacBooks
45	https://www.costco.com/computers.html	Computers	https://www.costco.com/desktops-servers.html	Desktops	https://www.costco.com/pc-desktops.html	PC Desktops
46	https://www.costco.com/computers.html	Computers	https://www.costco.com/desktops-servers.html	Desktops	https://www.costco.com/imac.html	iMac
47	https://www.costco.com/computers.html	Computers	https://www.costco.com/tablet-computers-accessories.html	iPads &amp; Tablets	https://www.costco.com/iPad-tablet-accessories.html	iPad &amp; Tablet Accessories
48	https://www.costco.com/computers.html	Computers	https://www.costco.com/tablet-computers-accessories.html	iPads &amp; Tablets	https://www.costco.com/tablet-computers.html	Tablets
49	https://www.costco.com/computers.html	Computers	https://www.costco.com/computer-accessories.html	Computer Accessories	https://www.costco.com/keyboards-mice-input-devices.html	Keyboards, Mice &amp; Input Devices
50	https://www.costco.com/computers.html	Computers	https://www.costco.com/computer-accessories.html	Computer Accessories	https://www.costco.com/surge-protectors-ups.html	Surge Protectors &amp; UPS
51	https://www.costco.com/computers.html	Computers	https://www.costco.com/computer-accessories.html	Computer Accessories	https://www.costco.com/computer-speakers.html	Computer Speakers
52	https://www.costco.com/computers.html	Computers	https://www.costco.com/printers-all-in-ones-scanners.html	Printers	https://www.costco.com/all-printers.html	All Printers
53	https://www.costco.com/computers.html	Computers	https://www.costco.com/printers-all-in-ones-scanners.html	Printers	https://www.costco.com/inkjet-printers.html	Inkjet Printers
54	https://www.costco.com/computers.html	Computers	https://www.costco.com/printers-all-in-ones-scanners.html	Printers	https://www.costco.com/laser-printers.html	Laser Printers
55	https://www.costco.com/computers.html	Computers	https://www.costco.com/hard-drives-memory.html	Hard Drives &amp; Memory	https://www.costco.com/external-hard-drives.html	External &amp; Portable Hard Drives
56	https://www.costco.com/computers.html	Computers	https://www.costco.com/hard-drives-memory.html	Hard Drives &amp; Memory	https://www.costco.com/solid-state-drives.html	Solid State Drives
57	https://www.costco.com/computers.html	Computers	https://www.costco.com/hard-drives-memory.html	Hard Drives &amp; Memory	https://www.costco.com/usb-flash-drives.html	USB Flash Drives
58	https://www.costco.com/computers.html	Computers	https://www.costco.com/software.html	Software	https://www.costco.com/business-office-finance.html	Business, Office &amp; Finance
59	https://www.costco.com/computers.html	Computers	https://www.costco.com/software.html	Software	https://www.costco.com/microsoft.html	Microsoft
60	https://www.costco.com/computers.html	Computers	https://www.costco.com/software.html	Software	https://www.costco.com/security-utilities.html	Security &amp; Utilities
61	https://www.costco.com/appliances.html	Appliances	https://www.costco.com/refrigerators.html	Refrigerators	https://www.costco.com/french-door-refrigerators.html	French Door Refrigerators
62	https://www.costco.com/appliances.html	Appliances	https://www.costco.com/refrigerators.html	Refrigerators	https://www.costco.com/refrigerators-bottom-mount-door.html	Bottom Freezer Refrigerators
63	https://www.costco.com/appliances.html	Appliances	https://www.costco.com/refrigerators.html	Refrigerators	https://www.costco.com/top-mount-refrigerators.html	Top Freezer Refrigerators
64	https://www.costco.com/appliances.html	Appliances	https://www.costco.com/refrigerators.html	Refrigerators	https://www.costco.com/refrigerators-side-by-side.html	Side-By-Side Refrigerators
65	https://www.costco.com/appliances.html	Appliances	https://www.costco.com/refrigerators.html	Refrigerators	https://www.costco.com/compact-refrigerators.html	Mini Fridges &amp; Compact Refrigerators
66	https://www.costco.com/appliances.html	Appliances	https://www.costco.com/laundry-appliances.html	Washers &amp; Dryers	https://www.costco.com/laundry-suites-gas.html	Washer Dryer Packages with Gas Dryer
67	https://www.costco.com/appliances.html	Appliances	https://www.costco.com/laundry-appliances.html	Washers &amp; Dryers	https://www.costco.com/laundry-suites-electric.html	Washer Dryer Packages with Electric Dryer
68	https://www.costco.com/appliances.html	Appliances	https://www.costco.com/laundry-appliances.html	Washers &amp; Dryers	https://www.costco.com/washer-dryer-combo.html	Washer Dryer Combo
69	https://www.costco.com/appliances.html	Appliances	https://www.costco.com/laundry-appliances.html	Washers &amp; Dryers	https://www.costco.com/washers.html	Washing Machines
70	https://www.costco.com/appliances.html	Appliances	https://www.costco.com/laundry-appliances.html	Washers &amp; Dryers	https://www.costco.com/electric-dryers.html	Electric Dryers
71	https://www.costco.com/appliances.html	Appliances	https://www.costco.com/laundry-appliances.html	Washers &amp; Dryers	https://www.costco.com/gas-dryers.html	Gas Dryers
72	https://www.costco.com/appliances.html	Appliances	https://www.costco.com/cooking-appliances.html	Cooking Appliances	https://www.costco.com/ranges.html	Ranges
73	https://www.costco.com/appliances.html	Appliances	https://www.costco.com/cooking-appliances.html	Cooking Appliances	https://www.costco.com/range-hoods.html	Range Hoods
74	https://www.costco.com/appliances.html	Appliances	https://www.costco.com/cooking-appliances.html	Cooking Appliances	https://www.costco.com/cooktops.html	Cooktops
75	https://www.costco.com/appliances.html	Appliances	https://www.costco.com/cooking-appliances.html	Cooking Appliances	https://www.costco.com/wall-ovens.html	Wall Ovens
76	https://www.costco.com/appliances.html	Appliances	https://www.costco.com/kitchen-suites.html	Kitchen Appliance Packages	https://www.costco.com/electric-kitchen.html	Electric Kitchen Appliance Packages
77	https://www.costco.com/appliances.html	Appliances	https://www.costco.com/kitchen-suites.html	Kitchen Appliance Packages	https://www.costco.com/gas-kitchen.html	Gas Kitchen Appliance Packages
78	https://www.costco.com/appliances.html	Appliances	https://www.costco.com/cooling-air-treatment-heating.html	Cooling, Air Treatment &amp; Heating	https://www.costco.com/dehumidifiers.html	Dehumidifiers
79	https://www.costco.com/appliances.html	Appliances	https://www.costco.com/cooling-air-treatment-heating.html	Cooling, Air Treatment &amp; Heating	https://www.costco.com/air-purifiers.html	Air Purifiers &amp; Filters
80	https://www.costco.com/appliances.html	Appliances	https://www.costco.com/cooling-air-treatment-heating.html	Cooling, Air Treatment &amp; Heating	https://www.costco.com/fans.html	Fans
81	https://www.costco.com/appliances.html	Appliances	https://www.costco.com/cooling-air-treatment-heating.html	Cooling, Air Treatment &amp; Heating	https://www.costco.com/humidifiers.html	Humidifiers
82	https://www.costco.com/appliances.html	Appliances	https://www.costco.com/cooling-air-treatment-heating.html	Cooling, Air Treatment &amp; Heating	https://www.costco.com/air-conditioners.html	Air Conditioners
83	https://www.costco.com/furniture.html	Furniture &amp; Mattresses	https://www.costco.com/living-room.html	Living Room Furniture	https://www.costco.com/sofas-couches.html	Sofas &amp; Couches
84	https://www.costco.com/furniture.html	Furniture &amp; Mattresses	https://www.costco.com/living-room.html	Living Room Furniture	https://www.costco.com/living-room-sets.html	Living Room Sets
85	https://www.costco.com/furniture.html	Furniture &amp; Mattresses	https://www.costco.com/living-room.html	Living Room Furniture	https://www.costco.com/sofas-sectionals.html	Sectional Sofas
86	https://www.costco.com/furniture.html	Furniture &amp; Mattresses	https://www.costco.com/living-room.html	Living Room Furniture	https://www.costco.com/futons-loungers.html	Sofa Beds &amp; Futons
87	https://www.costco.com/furniture.html	Furniture &amp; Mattresses	https://www.costco.com/living-room.html	Living Room Furniture	https://www.costco.com/chairs.html	Living Room Chairs
88	https://www.costco.com/furniture.html	Furniture &amp; Mattresses	https://www.costco.com/living-room.html	Living Room Furniture	https://www.costco.com/recliners.html	Recliners
89	https://www.costco.com/furniture.html	Furniture &amp; Mattresses	https://www.costco.com/living-room.html	Living Room Furniture	https://www.costco.com/ottomans-benches.html	Ottomans &amp; Benches
90	https://www.costco.com/furniture.html	Furniture &amp; Mattresses	https://www.costco.com/living-room.html	Living Room Furniture	https://www.costco.com/occasional-tables.html	Accent &amp; Coffee Tables
91	https://www.costco.com/furniture.html	Furniture &amp; Mattresses	https://www.costco.com/living-room.html	Living Room Furniture	https://www.costco.com/chests.html	Living Room Cabinets &amp; Chests
92	https://www.costco.com/furniture.html	Furniture &amp; Mattresses	https://www.costco.com/living-room.html	Living Room Furniture	https://www.costco.com/entertainment-centers-TV-stands.html	Entertainment Centers &amp; TV Stands
93	https://www.costco.com/furniture.html	Furniture &amp; Mattresses	https://www.costco.com/mattresses.html	Mattresses	https://www.costco.com/cal-king-mattresses.html	Cal King Mattresses
